Name,Quelle,Gruppe,Volk,Klasse,Stufe,Fähigkeiten,Upgrade,KÖR,AGI,GEI,ST,BE,VE,HÄ,GE,AU,Lebenskraft,Initiative,Laufen,Abwehr,Schlagen,Schiessen,Zauber,Zielzauber,GH,GK,EP,Talente,Fähigkeiten Schlüssel,Waffen,Panzerung,Ausrüstung,Zaubersprüche
Lord Dammenhall,D2GO #20,Untote,,,,,Episch,12,8,6,16,2,2,16,2,2,380,11,5,40,38,10,,,51,no,1130,"Angst, Alterung, Geistesimmun, Totenkraft, Wesen der Dunkelheit (Settingoption)","Angst: DS4CreatureTalent.fear2.description, Alterung: DS4CreatureTalent.agingx.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Totenkraft: DS4CreatureTalent.forceofdeath.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","mag. Bihänder (2h) +3 (WB+6, INI+1, GA-7)","mag. Plattenpanzer +3 (PA+6), mag. Metallhelm +1 (PA+2)",,
Lufrelementardiener,Der Turm des Sturmrufers,Magische Wesen,,,,,,5,5,2,2,0,2,2,1,0,9,5,3.5,15,8,7,,,1,kl,53,"Anfällig, Fliegen","Anfällig: DS4CreatureTalent.weaknessearth.description, Fliegen: DS4CreatureTalent.fly.description",Luftstoß (WB+1),Keine feste Gestalt (PA+8),,
Luftdämon I,Die Luftschiffe der Vestrach-Flotte,Magische Wesen,,,,,,7,8,6,5,3,3,3,3,3,20,11,5,14,14,13,,,6,no,106,"Anfällig, Dunkelsicht, Fliegen, Natürliche Waffen, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Anfällig: DS4CreatureTalent.weaknessearth.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Klauen (WB+2, GA-1), Luftstoß (WB+2)",Keine feste Gestalt (PA+4),,
Luftdämon II,Die Luftschiffe der Vestrach-Flotte,Magische Wesen,,,,,,9,9,8,6,6,6,5,5,5,48,15,6,18,18,16,,,12,gr,153,"Anfällig, Dunkelsicht, Fliegen, Natürliche Waffen, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Anfällig: DS4CreatureTalent.weaknessearth.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Klauen (WB+3, GA-2), Luftstoß (WB+2)",Keine feste Gestalt (PA+4),,
Luftdämon III,Die Luftschiffe der Vestrach-Flotte,Magische Wesen,,,,,,12,10,10,7,5,5,8,8,8,150,15,8,24,23,22,,,22,ri,272,"Anfällig, Dunkelsicht, Fliegen, Natürliche Waffen, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Anfällig: DS4CreatureTalent.weaknessearth.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Klauen (WB+4, GA-3), Luftstoß (WB+4)",Keine feste Gestalt (PA+4),,
Luftelementar I,Dungeonslayers Basisbox,Magische Wesen,,,,,,6,8,1,2,0,0,3,3,0,10,8,5,17,9,12,,,4,kl,68,"Anfällig, Fliegen, Körperlos","Anfällig: DS4CreatureTalent.weaknessearth.description, Fliegen: DS4CreatureTalent.fly.description, Körperlos: DS4CreatureTalent.withoutbody.description",Luftstoß (WB+1),Keine feste Gestalt (PA+8),,
Luftelementar II,Dungeonslayers Basisbox,Magische Wesen,,,,,,10,9,1,2,0,0,5,3,0,25,9,5.5,23,14,14,,,9,no,92,"Anfällig, Fliegen, Körperlos","Anfällig: DS4CreatureTalent.weaknessearth.description, Fliegen: DS4CreatureTalent.fly.description, Körperlos: DS4CreatureTalent.withoutbody.description",Luftstoß (WB+2),Keine feste Gestalt (PA+8),,
Luftelementar III,Dungeonslayers Basisbox,Magische Wesen,,,,,,15,9,1,2,0,0,7,4,0,64,9,6,30,21,17,,,16,gr,143,"Anfällig, Fliegen, Körperlos","Anfällig: DS4CreatureTalent.weaknessearth.description, Fliegen: DS4CreatureTalent.fly.description, Körperlos: DS4CreatureTalent.withoutbody.description",Luftstoß (WB+4),Keine feste Gestalt (PA+8),,
Luftelementarbote,Valen Coladris,Magische Wesen,,,,,,2,5,1,0,3,0,2,1,0,4,8,3.5,12,2,6,,,1,wi,41,"Anfällig, Fliegen","Anfällig: DS4CreatureTalent.weaknessearth.description, Fliegen: DS4CreatureTalent.fly.description",Luftstoß,Keine feste Gestalt (PA+8),,
Lydenia,Das Volk der Sturmelfen,Elf,Elf,Zau,1,"Nachtsicht, Unsterblich, Zielsicher",,6,6,8,0,0,3,2,3,2,18,6,4,8,7,10,,14,1,no,52,"Blitzmacher I, Wissensgebiet I, Wissensgebiet I, Zaubermacht I","Blitzmacher I: DS4Talent.boltthrower.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Zaubermacht I: DS4Talent.powerofmagic.description","Kampfstab (2h) (WB+1, Zielzauber +1)",,,Schock (+1)
Mammut,Das Umbarla-Becken,Tiere,,,,,,17,7,1,6,1,0,5,0,0,96,8,7.5,24,26,7,,,19,gr,168,"Natürliche Waffen, Sturmangriff, Umschlingen","Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Umschlingen: DS4CreatureTalent.entangle.description","Stoßzähne (WB+3, GA-1)",Fell (PA+2),,
Mardossani Kavalier,Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,6,6,3,2,2,1,0,2,19,10,4,11,13,6,,,1,no,51,"Charmant I, Kämpfer I, Parade I, Schlitzohr I, Waffenkenner I, Wissensgebiet I","Charmant I: DS4Talent.charmant.description, Kämpfer I: DS4Talent.fighter.description, Parade I: DS4Talent.parade.description, Schlitzohr I: DS4Talent.rascal.description, Waffenkenner I: DS4Talent.weaponsadept.description, Wissensgebiet I: DS4Talent.knowledge.description","Degen (WB+1, INI+2)",Lederpanzer (PA+1),Maske (Glückspilz +I),
Maskentänzerin,Slayerforum,Mensch,Mensch,Zau,1,Talentiert,,4,8,8,0,2,2,0,2,4,14,12,6,4,4,10,12,,1,no,46,"Akrobat I, Charmant I, Flink I, Schnelle Reflexe I, Wissensgebiet I, Wissensgebiet I","Akrobat I: DS4Talent.acrobatic.description, Charmant I: DS4Talent.charmant.description, Flink I: DS4Talent.fast.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description",Wurfmesser,,,Zaubertrick (0)
Medusa,Dungeonslayers Basisbox,Magische Wesen,,,,,,11,6,7,3,0,2,3,2,2,36,6,6,15,16,8,,,18,no,205,"Mehrere Angriffe (+5), Blickangriff, Schleudern, Versteinern","Mehrere Angriffe (+5): DS4CreatureTalent.multipleattacksmedusa.description, Blickangriff: DS4CreatureTalent.sightattack.description, Schleudern: DS4CreatureTalent.throw.description, Versteinern: DS4CreatureTalent.petrify.description",Klauen/Schlangen (WB+2),Schuppen (PA+1),,
Mega-Skelett,Die Pyramide des Eck Wan,Untote,,,,,Episch,10,6,4,8,2,0,2,2,4,440,8,4.5,18,23,8,,,34,gr,1088,"Mehrere Angriffe (+3), Geistesimmun, Mehrere Angriffsglieder (+3), Wesen der Dunkelheit (Settingoption), Zerstampfen","Mehrere Angriffe (+3): DS4CreatureTalent.multipleattacks3.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Mehrere Angriffsglieder (+3): DS4CreatureTalent.multipleweapons3.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description, Zerstampfen: DS4CreatureTalent.trample.description",Fäulnispranke (WB+1),Merkt nichts (PA+2),,
Meister Schnarkel,Der Kult des Snarrk'Izz,Rattling,Rattling,Zau,5,"Dunkelsicht, Klein, Leichtfüßig, Lichtempfindlich, Resistenz gegen Krankheiten und Gifte, Zäher als sie aussehen",,6,6,8,0,0,2,1,2,6,17,8,4,7,9,8,14,12,1,no,55,"Bildung III, Runenkunde II, Wissensgebiet II, Heimlichkeit I, Wahrnehmung I, Wissensgebiet I","Bildung III: DS4Talent.education.description, Runenkunde II: DS4Talent.runeknowledge.description, Wissensgebiet II: DS4Talent.knowledge.description, Heimlichkeit I: DS4Talent.creepy.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description","mag. Kampfstab (2h) +2 (WB+3, INI+2, GA-2, Zielzauber +1, Zielzauber +1)",Robe,Amulett (Wahrnehmung +II),"Blenden (-(AGI+AU)/2), Flackern (-2), Lauschen (-1/10m), Magie entdecken (0), Magie identifizieren (0), Magisches Schloss (0), Öffnen (-SW)"
Menschensklave,Trächtige Wildsau,Mensch,Mensch,SPÄ,1,Talentiert,,7,7,6,2,2,1,2,2,1,19,6,4.5,9,10,9,,,1,no,50,,,"Werkzeug (WB+1, INI-3)",Lumpen,,
Minderer Leichnam,Slay! #3,Untote,,,,,,6,6,9,0,0,6,2,4,7,18,6,4,10,11,10,16,18,9,no,153,"Dunkelsicht, Geistesimmun, Lähmungseffekt, Magische Aufladung, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Lähmungseffekt: DS4CreatureTalent.paralysetouch.description, Magische Aufladung: DS4CreatureTalent.magicload.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Lähmende Berührung (WB+5),mag. Robe +2 (PA+2),,"Arkanes Schwert (0), Botschaft (0), Durchlässig (-4), Dämonen beschwören (-(KÖR+AU)+BB), Feuerball (+3), Feuerwand (-2), Flackern (-2), Fliegen (0), Gehorche (-(GEI+VE)/2), Kettenblitz (+3), Kontrollieren (-(GEI+AU)/2), Magie bannen (-Stufe od. -LK/2), Magie entdecken (0), Magie identifizieren (0), Schatten erwecken (0), Schattenlanze (+5), Spionage (0), Telekinese (-1/Stufe x5 kg), Teleport (-1/Begleiter), Terror (-(GEI+VE)/2), Totengespräch (0), Unsichtbarkeit (0), Volksgestalt (-4), Zombies erwecken (0)"
Minotaurus,Dungeonslayers Basisbox,Humanoide,,,,,,14,6,4,4,2,1,3,1,1,54,8,4.5,18,20,7,,,12,gr,138,"Sturmangriff, Zerstampfen","Sturmangriff: DS4CreatureTalent.charge.description, Zerstampfen: DS4CreatureTalent.trample.description","Massive Keule, Horn oder Huf (WB+2, GA-2)",Fell (PA+1),,
Mokaner Fährtenleser,Slayerforum,Mensch,Mensch,SPÄ,1,Talentiert,,7,8,5,1,2,1,2,4,0,19,11,5,10,9,14,,,1,no,52,"Heimlichkeit I, Jäger I, Sattelschütze I, Schütze I, Wahrnehmung I","Heimlichkeit I: DS4Talent.creepy.description, Jäger I: DS4Talent.hunter.description, Sattelschütze I: DS4Talent.rideandshoot.description, Schütze I: DS4Talent.shooter.description, Wahrnehmung I: DS4Talent.perception.description","Kurzbogen (2h) (WB+1, INI+1), Speer (WB+1)",Lederpanzer (PA+1),,
Monsterspinne,Dungeonslayers Basisbox,Tiere,,,,,,12,9,1,3,2,0,2,4,0,72,11,9,15,17,15,,,11,gr,145,"Kletterläufer, Lähmungseffekt, Natürliche Waffen","Kletterläufer: DS4CreatureTalent.climb.description, Lähmungseffekt: DS4CreatureTalent.paralyse.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description","Spinnenbiss (WB+2, GA-2), Netzflüssigkeit (WB+2)",Dicke Spinnenhaut (PA+1),,
Morg Bulgash,Das Umbarla-Becken,Mensch,Mensch,KRI,13,Talentiert,,8,7,5,8,1,1,8,1,0,26,12,5,27,23,8,,,15,no,98,"Ausweichen III, Brutaler Hieb III, Kämpfer III, Verletzen III, Sensenspötter II, Magieresistent I, Waffenkenner I, Wissensgebiet I","Ausweichen III: DS4Talent.evasion.description, Brutaler Hieb III: DS4Talent.brutalstrike.description, Kämpfer III: DS4Talent.fighter.description, Verletzen III: DS4Talent.violator.description, Sensenspötter II: DS4Talent.scythederider.description, Magieresistent I: DS4Talent.magicresistent.description, Waffenkenner I: DS4Talent.weaponsadept.description, Wissensgebiet I: DS4Talent.knowledge.description","mag. Breitschwert +2 (WB+3, INI+2, GA-4)","mag. Plattenpanzer +1 (PA+4, LA-0.5, Parade +I), mag. Plattenbeinschienen +1 (PA+2, Flink +I), mag. Plattenarmschienen +1 (PA+2, Kämpfer +I), mag. Metallhelm +1 (PA+2, Schnelle Reflexe +I)",,
"Mudaks, die Grünhaut",Slay! #1,Humanoide,,,,,,5,7,3,3,2,2,1,2,0,8,11,4.5,8,9,9,,,1,kl,45,"Ausweichen I, Kämpfer I, Nachtsicht, Wesen der Dunkelheit (Settingoption)","Ausweichen I: DS4Talent.evasion.description, Kämpfer I: DS4Talent.fighter.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Mudaks Schlitzer (INI+1, Glückspilz +I)","Mudaks Schuppen (PA+1, Schnelle Reflexe +I), Mudaks Schädel (PA+1, INI-1)",,
Mumie,Dungeonslayers Basisbox,Untote,,,,,,12,4,4,10,0,0,10,0,2,32,4,3,23,23,4,,,18,no,133,"Angst, Anfällig, Dunkelsicht, Geistesimmun, Natürliche Waffen, Totenkraft, Werteverlust, Wesen der Dunkelheit (Settingoption)","Angst: DS4CreatureTalent.fear1.description, Anfällig: DS4CreatureTalent.weaknessfire.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Totenkraft: DS4CreatureTalent.forceofdeath.description, Werteverlust: DS4CreatureTalent.losskor.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Fäulnispranke (WB+1),Bandagen (PA+1),,
Mutierte Riesenratte,D2GO #5,Tiere,,,,,,12,18,2,3,9,1,3,0,0,50,27,10.5,15,19,18,,,7,gr,102,,,Spitze Zähne (WB+4),,,
Nafuri Söldner,Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,8,4,5,3,0,2,0,0,20,11,5,12,15,8,,,2,no,53,"Zwei Waffen III, Parade I, Wahrnehmung I","Zwei Waffen III: DS4Talent.twoweaponfighting.description, Parade I: DS4Talent.parade.description, Wahrnehmung I: DS4Talent.perception.description","Krummschwert (WB+2), Krummschwert (WB+2)",Lederpanzer (PA+1),,
Nancor der Bärenwüter,Das Umbarla-Becken,Mensch,Mensch,KRI,9,Talentiert,,8,6,6,8,1,0,7,0,2,34,1,4,18,23,6,,,11,no,119,"Brutaler Hieb III, Einstecker III, Kämpfer III, Jäger I, Prügler I, Standhaft I, Wissensgebiet I","Brutaler Hieb III: DS4Talent.brutalstrike.description, Einstecker III: DS4Talent.endurance.description, Kämpfer III: DS4Talent.fighter.description, Jäger I: DS4Talent.hunter.description, Prügler I: DS4Talent.birching.description, Standhaft I: DS4Talent.steady.description, Wissensgebiet I: DS4Talent.knowledge.description","Schlachtbeil (2h) (WB+4, INI-6, GA-4, Raserei +I, Schlachtruf +I, Rundumschlag +I)",mag. Kettenpanzer +1 (PA+3),,
Narrländer Alchemist,Slayerforum,Gnom,Gnom,Zau,1,"Dunkelsicht, Klein, Langlebig, Magisch begabt, Zäh, Zäher als sie aussehen",,5,7,8,0,0,3,0,4,4,15,7,4.5,6,6,11,13,,1,kl,49,"Alchemie I, Glückspilz I, Runenkunde I, Wahrnehmung I, Wissensgebiet I","Alchemie I: DS4Talent.alchemie.description, Glückspilz I: DS4Talent.lucky.description, Runenkunde I: DS4Talent.runeknowledge.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,Magie entdecken (0)
Nekrolyth,Slay! #3,Untote,,,,,,6,6,8,0,1,5,2,5,6,18,7,4,8,7,11,14,16,3,no,94,"Dunkelsicht, Geistesimmun, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,"Flackern (-2), Fluch (-(GEI+AU)/2), Kleiner Terror (-(GEI+VE)/2), Kontrollieren (-(GEI+AU)/2), Magie entdecken (0), Magische Waffe (0), Schatten (-(AGI+AU)/2), Schattenpfeil (+2), Schweben (0), Skelette erwecken (0), Spionage (0), Volksgestalt (-4), Öffnen (-SW)"
Nico Mavelli,Das Geschenk der Eiskönigin,Mensch,Mensch,BLU,17,Talentiert,Heroisch,7,5,8,3,0,5,6,5,10,130,8,4.5,18,16,10,18,17,11,no,436,"Einstecker III, Blutschild II, Einbetten II, Diener der Dunkelheit II, Kämpfer II, Ritual der Narben II, Zaubermacht II, Feuermagier I, Alchemie I, Blutige Heilung I, Macht des Blutes I, Flink I, Wechsler I, Wissensgebiet I","Einstecker III: DS4Talent.endurance.description, Blutschild II: DS4Talent.bloodshield.description, Einbetten II: DS4Talent.embed.description, Diener der Dunkelheit II: DS4Talent.servantofdarkness.description, Kämpfer II: DS4Talent.fighter.description, Ritual der Narben II: DS4Talent.ritualofscars.description, Zaubermacht II: DS4Talent.powerofmagic.description, Feuermagier I: DS4Talent.firemage.description, Alchemie I: DS4Talent.alchemie.description, Blutige Heilung I: DS4Talent.bloodyhealing.description, Macht des Blutes I: DS4Talent.masterofblood.description, Flink I: DS4Talent.fast.description, Wechsler I: DS4Talent.changer.description, Wissensgebiet I: DS4Talent.knowledge.description","mag. Keule +3 (WB+4, INI+3, GA-3)","mag. Robe (runenbestickt) +1 (PA+1, Aura +1)","Halskrause des Leids (Aura +2, Zauberqual +III), Kette des Leids (Zielzauber +2, Einstecker +II), Mantel der Leids (Verstand +1, Schmerzhafter Wechsel +I), Ring (Abklingzeit aller Zauber des Trägers verkürzt um 1 Runden), Ring (Abwehr +2), Scherpe des Leid (Körperexplosion +2, Stärke +2, Zauber: Körperexplosion eingebettet), Stab (Zauber: Schattenpfeil als Zauberstab)","Blut kochen (-(KÖR+AU)/2), Erdspalt (-4), Feueratem (+4), Feuerstrahl (+2), Flackern (-2), Fluch (-(GEI+AU)/2), Gehorche (-(GEI+VE)/2), Halt (-(KÖR+AU)/2), Lauschen (-1/10m), Magische Waffe (0), Magisches Schloss (0), Schatten (-(AGI+AU)/2), Schattenpfeil (+2), Schutzschild (0), Schweig (-(GEI+AU)/2), Tarnender Nebel (-2), Terror (-(GEI+VE)/2), Unsichtbarkeit (0), Verwirren (-(GEI+AU)/2), Volksgestalt (-4), Wahnsinn (-(GEI+AU)/2), Wolke des Todes (-4)"
Niederer Dämon,Dungeonslayers Basisbox,Magische Wesen,,,,,,5,5,5,2,2,2,2,2,2,9,7,3.5,9,8,7,,,1,kl,71,"Dunkelsicht, Natürliche Waffen, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Pranke (WB+1, GA-1)",Dämonenhaut (PA+2),,
Nordeker Ritter,Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,6,6,5,0,0,3,0,2,21,6,4,15,16,6,,,5,no,75,"Kämpfer II, Brutaler Hieb I, Parade I, Wahrnehmung I","Kämpfer II: DS4Talent.fighter.description, Brutaler Hieb I: DS4Talent.brutalstrike.description, Parade I: DS4Talent.parade.description, Wahrnehmung I: DS4Talent.perception.description","Breitschwert (WB+1, GA-2)","Holzschild (PA+1), Lederpanzer (PA+1), Lederschienen (Arm & Bein) (PA+1)",,
Oger,Dungeonslayers Basisbox,Humanoide,,,,,,12,4,2,3,2,1,3,0,0,50,6,3.5,16,17,4,,,9,gr,120,"Nachtsicht, Umschlingen, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Umschlingen: DS4CreatureTalent.entangle.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Massive Keule (WB+2, GA-2)",Felle (PA+1),,
Ork,Dungeonslayers Basisbox,Humanoide,,,,,,10,6,2,2,0,1,3,3,0,23,6,4,14,13,10,,,2,no,63,"Nachtsicht, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Speer (WB+1),Lederpanzer (PA+1),,
Orkräuber,Dungeonslayers Basisbox,Humanoide,,,,,,12,6,2,3,0,1,3,3,0,25,7,4,17,17,10,,,5,no,70,"Nachtsicht, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Krummschwert (WB+2), Kurzbogen (2h) (WB+1, INI+1)","Lederpanzer (PA+1), Holzschild (PA+1)",,
Pfeilsporenpilz,Trächtige Wildsau,Pflanzenwesen,,,,,,2,3,1,0,0,0,2,5,0,4,3,2.5,4,2,9,,,1,wi,38,"Gift, Sonar","Gift: DS4CreatureTalent.poison.description, Sonar: DS4CreatureTalent.sonar.description",Pfeilsporen (WB+1),,,
Pferd,Dungeonslayers Basisbox,Tiere,,,,,,10,11,1,2,7,0,2,0,0,66,18,10.5,12,14,11,,,4,gr,101,Natürliche Waffen,Natürliche Waffen: DS4CreatureTalent.naturalweapons.description,Huf (WB+2),,,
Phantomhexer,Slay! #3,Untote,,,,,,6,6,9,0,3,6,0,6,7,16,9,4,14,8,12,16,20,9,no,177,"Alterung, Dunkelsicht, Fliegen, Geistesimmun, Wesen der Dunkelheit (Settingoption)","Alterung: DS4CreatureTalent.agingx.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Geisterklaue (WB+2, GA-2)",Körperlos (PA+8),,"Arkanes Schwert (0), Blitz (+3), Blut kochen (-(KÖR+AU)/2), Fluch (-(GEI+AU)/2), Kettenblitz (+3), Magie bannen (-Stufe od. -LK/2), Magie entdecken (0), Netz (-(AGI+ST)/2), Schatten (-(AGI+AU)/2), Schattenlanze (+5), Telekinese (-1/Stufe x5 kg), Teleport (-1/Begleiter), Terror (-(GEI+VE)/2), Trugbild (-2), Unsichtbares sehen (0), Versetzen (0)"
Pony,Dungeonslayers Basisbox,Tiere,,,,,,9,8,1,2,5,0,2,0,0,63,13,8,11,13,8,,,3,gr,92,Natürliche Waffen,Natürliche Waffen: DS4CreatureTalent.naturalweapons.description,Huf (WB+2),,,
Ratte,Dungeonslayers Basisbox,Tiere,,,,,,2,4,1,1,2,0,0,0,0,3,6,3,2,4,4,,,1,wi,26,"Dunkelsicht, Natürliche Waffen, Schwimmen","Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Schwimmen: DS4CreatureTalent.swim.description",Spitze Zähne (WB+1),,,
Rattenkönig,Slay! #2,Magische Wesen,,,,,,12,6,10,3,2,5,4,2,8,78,8,6.5,18,17,8,,,25,gr,296,"Mehrere Angriffe (+9), Bezaubern, Dunkelsicht, Natürliche Waffen, Regeneration, Schwimmen, Wesen der Dunkelheit (Settingoption)","Mehrere Angriffe (+9): DS4CreatureTalent.multipleattacks9.description, Bezaubern: DS4CreatureTalent.charm.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Regeneration: DS4CreatureTalent.regeneration.description, Schwimmen: DS4CreatureTalent.swim.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Spitze Zähne (WB+2),Dicke Borstenhaut (PA+2),,
Rattenkönig Schnabbler,Der Kult des Snarrk'Izz,Mensch,Mensch,KRI,7,Talentiert,,8,7,5,11,2,0,6,0,0,30,9,4,16,23,7,,,9,no,92,"Kämpfer III, Brutaler Hieb II, Einstecker II, Raserei I, Reiten I, Schwimmen I, Wissensgebiet I","Kämpfer III: DS4Talent.fighter.description, Brutaler Hieb II: DS4Talent.brutalstrike.description, Einstecker II: DS4Talent.endurance.description, Raserei I: DS4Talent.fury.description, Reiten I: DS4Talent.riding.description, Schwimmen I: DS4Talent.swimming.description, Wissensgebiet I: DS4Talent.knowledge.description","Breitschwert (WB+1, GA-2)","Kettenpanzer (PA+2, LA-0.5)",Gürtel (Stärke +3),
Rattenoger,Slay! #2,Humanoide,,,,,,11,6,3,5,2,1,3,1,0,48,8,4.5,15,18,7,,,11,gr,142,"Mehrere Angriffe (+1), Dunkelsicht, Natürliche Waffen, Schwimmen, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacks1.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Schwimmen: DS4CreatureTalent.swim.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Krallen (WB+2, GA-2), Spitze Zähne (WB+2, GA-2)",Fell (PA+1),,
Rattling,Slay! #2,Rattling,Rattling,SPÄ,1,"Dunkelsicht, Klein, Leichtfüßig, Lichtempfindlich, Resistenz gegen Krankheiten und Gifte, Zäher als sie aussehen",,6,8,6,0,4,1,2,3,0,18,13,6,9,6,11,,,1,kl,49,"Fieser Schuss I, Flink I, Heimlichkeit I, Schwimmen I, Wahrnehmung I","Fieser Schuss I: DS4Talent.meanshot.description, Flink I: DS4Talent.fast.description, Heimlichkeit I: DS4Talent.creepy.description, Schwimmen I: DS4Talent.swimming.description, Wahrnehmung I: DS4Talent.perception.description","Schleuder, Dolch (INI+1)",Lumpen (PA+1),,
Rattling Giftzauberer,Slay! #2,Rattling,Rattling,Sch,6,"Dunkelsicht, Klein, Leichtfüßig, Lichtempfindlich, Resistenz gegen Krankheiten und Gifte, Zäher als sie aussehen",,5,7,8,0,1,3,1,6,5,19,8,4.5,6,6,13,13,15,1,kl,71,"Alchemie II, Feuermagier II, Ausweichen I, Einstecker I, Heimlichkeit I, Schwimmen I, Wahrnehmung I, Zaubermacht I","Alchemie II: DS4Talent.alchemie.description, Feuermagier II: DS4Talent.firemage.description, Ausweichen I: DS4Talent.evasion.description, Einstecker I: DS4Talent.endurance.description, Heimlichkeit I: DS4Talent.creepy.description, Schwimmen I: DS4Talent.swimming.description, Wahrnehmung I: DS4Talent.perception.description, Zaubermacht I: DS4Talent.powerofmagic.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,"Feuerstrahl (+3), Kontrollieren (-(GEI+AU)/2), Schatten (-(AGI+AU)/2), Skelette erwecken (0), Tarnender Nebel (-2), Verwirren (-(GEI+AU)/2)"
